Date,A,B,C,D
2014/1/2,0,0,-1.3333,-0.4449
2014/1/3,-0.8889,-0.8785,-1.0135,-0.5587
2014/1/6,-0.2242,-0.8863,-3.0717,-2.3596
2014/1/7,0.2247,-1.3413,-0.3521,0.1151
2014/1/8,-0.6726,-0.3021,-0.7067,0.5747
2014/1/9,-0.4515,0,-2.4911,-0.4571
2014/1/10,6.576,3.9394,0.7299,0.1148
2014/1/13,-2.766,-2.6239,-0.3623,0.9174
2014/1/14,4.1575,1.497,2.5455,-0.7955
2014/1/15,-1.0504,-0.4425,-1.0638,0.3436
2014/1/16,0.8493,0.5926,-1.4337,-0.4566
2014/1/17,-0.8421,-1.3255,-0.7273,-0.1147
2014/1/20,-1.6985,1.6418,-1.8315,-0.1148
2014/1/21,-0.216,-1.4684,0,0
2014/1/22,-0.2165,1.7884,-0.3731,-0.2299
2014/1/23,0,-0.7321,1.1236,-0.2304
2014/1/24,0.4338,2.3599,-1.4815,-0.1155
2014/1/27,1.0799,-4.755,-1.1278,-1.0405
2014/2/5,-1.7094,-0.9077,1.9011,-1.285
2014/2/6,0.6522,-1.6794,-0.7463,-0.1183
2014/2/7,0.432,0.1553,-0.3759,0.8294
2014/2/10,1.2903,0.7752,1.5094,1.1751
2014/2/11,-0.4246,0.6154,1.8587,0.1161
2014/2/12,0.2132,1.5291,-1.4599,-0.464
2014/2/13,6.8085,-0.753,-1.4815,-0.4662
2014/2/14,5.7769,1.214,-0.7519,-0.3513
2014/2/17,2.4482,0.7496,0.3788,-0.235
2014/2/18,0.3676,1.1905,0,0.3534
2014/2/19,0,-0.2941,-1.1321,-0.3521
2014/2/20,-2.1978,-1.1799,0,-0.2356
2014/2/21,6.9288,0.8955,1.5267,0.1181
2014/2/24,-1.7513,-2.3669,1.5038,2.2406
2014/2/25,-6.9519,0.9091,-1.4815,0.1153
2014/2/26,2.682,1.5015,0.3759,-0.8065
2014/2/27,-1.1194,2.9586,0.3745,-0.4646
2014/3/3,-1.5094,-1.0057,-1.1194,-0.5834
2014/3/4,0.3831,-2.1771,-0.7547,-0.5869
2014/3/5,-0.5725,2.6706,0,-0.2361
2014/3/6,0.7678,-1.3006,1.1407,0
2014/3/7,-3.8095,0.1464,-1.1278,-0.9467
2014/3/10,-1.1881,-0.8772,-4.1825,0.1195
2014/3/11,4.6092,0.7375,-0.3968,-0.716
2014/3/12,-0.9579,0.1464,-0.3984,-0.4808
2014/3/13,-0.7737,-1.462,0.4,-1.087
2014/3/14,-0.5848,-1.9288,6.7729,0
2014/3/17,1.5686,1.3616,3.7313,0.7326
2014/3/18,1.9305,1.3433,-2.8777,-0.4848
2014/3/19,-1.3258,-1.62,-1.4815,-0.609
2014/3/20,-1.7274,-1.9461,-1.8797,-0.1225
2014/3/21,-1.1719,-0.458,-0.3831,-0.6135
2014/3/24,-1.1858,0.4601,-1.1538,-0.4938
2014/3/25,0.4,0,2.3346,0.2481
2014/3/26,-0.1992,2.1374,0.7605,0.9901
2014/3/27,-1.1976,-0.5979,-0.3774,-0.3676
2014/3/28,-0.6061,1.9549,-1.8939,0.246
2014/3/31,1.2195,0.1475,1.5444,4.7853
2014/4/1,-1.2048,-0.1473,4.5627,0.1171
2014/4/2,-1.0163,1.1799,0.7273,-0.117
