Date,Open,High,Low,Close,Adj Close,Volume
2016/1/4,7.74,7.74,7.58,7.7,6.874672,694700
2016/1/5,7.68,7.795,7.67,7.71,6.883601,963790
2016/1/6,7.72,7.79,7.66,7.68,6.856816,1001573
2016/1/7,7.56,7.73,7.56,7.66,6.83896,1217986
2016/1/8,7.63,7.789,7.52,7.55,6.740751,872276
2016/1/11,7.67,7.73,7.6,7.7,6.874672,788499
2016/1/12,7.8,7.83,7.7,7.74,6.910385,610687
2016/1/13,7.79,7.85,7.685,7.71,6.883601,536290
2016/1/14,7.77,7.85,7.69,7.72,6.892529,3072672
2016/1/15,7.62,7.65,7.47,7.545,6.736287,990290
2016/1/19,7.73,7.73,7.61,7.68,6.856816,948827
2016/1/20,7.54,7.7,7.54,7.68,6.856816,676142
2016/1/21,7.7,7.705,7.575,7.66,6.83896,780043
2016/1/22,7.67,7.71,7.62,7.69,6.865745,697700
2016/1/25,7.66,7.7,7.61,7.69,6.865745,836667
2016/1/26,7.73,7.73,7.63,7.68,6.856816,447115
2016/1/27,7.63,7.705,7.48,7.5,6.696109,1444311
2016/1/28,7.5,7.54,7.27,7.47,6.669325,1534348
2016/1/29,7.56,7.7,7.55,7.67,6.847888,786158
