Date,Open,High,Low,Close,Adj Close,Volume,ROI
2015/1/7,143,145,142,144,141.458908,11972000,-1.541092
2015/1/8,145.5,149,145.5,146,143.423615,19343000,-2.076385
2015/1/9,148,149,146,148,145.388336,13020000,-2.611664
2015/1/12,148,153.5,147,152,149.317734,19206000,1.317734
2015/1/13,152,153.5,147,147.5,144.897141,15618000,-7.102859
2015/1/14,147.5,149,146.5,149,146.370682,7471000,-1.129318
2015/1/15,149.5,150,147.5,147.5,144.897141,5983000,-4.602859
2015/1/16,147.5,150,147,147.5,144.897141,8020000,-2.602859
2015/1/19,150,156,150,155.5,152.755966,23058000,2.755966
2015/1/20,158,160,156.5,158,155.211868,17743000,-2.788132
2015/1/21,158.5,159.5,156.5,159,156.194229,11014000,-2.305771
2015/1/22,160,161,157,158,155.211868,8594000,-4.788132
2015/1/23,158,160,156,156,153.247162,8548000,-4.752838
2015/1/26,157,160,156.5,159,156.194229,10988000,-0.805771
2015/1/27,160.5,160.5,157.5,158,155.211868,5509000,-5.288132
2015/1/28,157.5,161,157,158.5,155.703033,9098000,-1.796967
2015/1/29,159,159.5,156.5,158,155.211868,5734000,-3.788132
2015/1/30,158.5,159,155,157,154.229507,8394000,-4.270493
