Date,Open,High,Low,Close
05/06/2021,4169.14 ,4202.70 ,4147.33 ,4201.62 
05/05/2021,4177.06 ,4187.72 ,4160.94 ,4167.59 
05/04/2021,4179.04 ,4179.04 ,4128.59 ,4164.66 
05/03/2021,4191.98 ,4209.39 ,4188.03 ,4192.66 
04/30/2021,4198.10 ,4198.10 ,4174.85 ,4181.17 
04/29/2021,4206.14 ,4218.78 ,4176.81 ,4211.47 
04/28/2021,4185.14 ,4201.53 ,4181.78 ,4183.18 
04/27/2021,4188.25 ,4193.35 ,4176.22 ,4186.72 
04/26/2021,4185.03 ,4194.19 ,4182.36 ,4187.62 
04/23/2021,4138.78 ,4194.17 ,4138.78 ,4180.17 
04/22/2021,4170.46 ,4179.57 ,4123.69 ,4134.98 
04/21/2021,4128.42 ,4175.02 ,4126.35 ,4173.42 
04/20/2021,4159.18 ,4159.18 ,4118.38 ,4134.94 
04/19/2021,4179.80 ,4180.81 ,4150.47 ,4163.26 
04/16/2021,4174.14 ,4191.31 ,4170.75 ,4185.47 
04/15/2021,4139.76 ,4173.49 ,4139.76 ,4170.42 
04/14/2021,4141.58 ,4151.69 ,4120.87 ,4124.66 
04/13/2021,4130.10 ,4148.00 ,4124.43 ,4141.59 
04/12/2021,4124.71 ,4131.76 ,4114.82 ,4127.99 
04/09/2021,4096.11 ,4129.48 ,4095.51 ,4128.80 
04/08/2021,4089.95 ,4098.19 ,4082.54 ,4097.17 
04/07/2021,4074.29 ,4083.13 ,4068.31 ,4079.95 
04/06/2021,4075.57 ,4086.23 ,4068.14 ,4073.94 
04/05/2021,4034.44 ,4083.42 ,4034.44 ,4077.91 
04/01/2021,3992.78 ,4020.63 ,3992.78 ,4019.87 
03/31/2021,3967.25 ,3994.41 ,3966.98 ,3972.89 
03/30/2021,3963.34 ,3968.01 ,3944.35 ,3958.55 
03/29/2021,3969.31 ,3981.83 ,3943.25 ,3971.09 
03/26/2021,3917.12 ,3978.19 ,3917.12 ,3974.54 
03/25/2021,3879.34 ,3919.54 ,3853.50 ,3909.52 
03/24/2021,3919.93 ,3942.08 ,3889.07 ,3889.14 
03/23/2021,3937.60 ,3949.13 ,3901.57 ,3910.52 
03/22/2021,3916.48 ,3955.31 ,3914.16 ,3940.59 
03/19/2021,3913.14 ,3930.12 ,3886.75 ,3913.10 
03/18/2021,3953.50 ,3969.62 ,3910.86 ,3915.46 
03/17/2021,3949.57 ,3983.87 ,3935.74 ,3974.12 
03/16/2021,3973.59 ,3981.04 ,3953.44 ,3962.71 
03/15/2021,3942.96 ,3970.08 ,3923.54 ,3968.94 
03/12/2021,3924.52 ,3944.99 ,3915.21 ,3943.34 
03/11/2021,3915.54 ,3960.27 ,3915.54 ,3939.34 
03/10/2021,3891.99 ,3917.35 ,3885.73 ,3898.81 
03/09/2021,3851.93 ,3903.76 ,3851.93 ,3875.44 
03/08/2021,3844.39 ,3881.06 ,3819.25 ,3821.35 
03/05/2021,3793.58 ,3851.69 ,3730.19 ,3841.94 
03/04/2021,3818.53 ,3843.67 ,3723.34 ,3768.47 
03/03/2021,3863.99 ,3874.47 ,3818.86 ,3819.72 
03/02/2021,3903.64 ,3906.41 ,3868.57 ,3870.29 
03/01/2021,3842.51 ,3914.50 ,3842.51 ,3901.82 
02/26/2021,3839.66 ,3861.08 ,3789.54 ,3811.15 
02/25/2021,3915.80 ,3925.02 ,3814.04 ,3829.34 
02/24/2021,3873.71 ,3928.65 ,3859.60 ,3925.43 
02/23/2021,3857.07 ,3895.98 ,3805.59 ,3881.37 
02/22/2021,3885.55 ,3902.92 ,3874.71 ,3876.50 
02/19/2021,3921.16 ,3930.41 ,3903.07 ,3906.71 
02/18/2021,3915.86 ,3921.98 ,3885.03 ,3913.97 
02/17/2021,3918.50 ,3933.61 ,3900.43 ,3931.33 
02/16/2021,3939.61 ,3950.43 ,3923.85 ,3932.59 
02/12/2021,3911.65 ,3937.23 ,3905.78 ,3934.83 
02/11/2021,3916.40 ,3925.99 ,3890.39 ,3916.38 
02/10/2021,3920.78 ,3931.50 ,3884.94 ,3909.88 
02/09/2021,3910.49 ,3918.35 ,3902.64 ,3911.23 
02/08/2021,3892.59 ,3915.77 ,3892.59 ,3915.59 
02/05/2021,3878.30 ,3894.56 ,3874.93 ,3886.83 
02/04/2021,3836.66 ,3872.42 ,3836.66 ,3871.74 
02/03/2021,3840.27 ,3847.51 ,3816.68 ,3830.17 
02/02/2021,3791.84 ,3843.09 ,3791.84 ,3826.31 
02/01/2021,3731.17 ,3784.32 ,3725.62 ,3773.86 
